kreiskey1849,county,rb,ani1849_horses_un3,ani1849_horses_4to10,ani1849_horses_ov10,ani1849_mule,ani1849_donkey,ani1849_bulls,ani1849_oxen,ani1849_cattle,ani1849_youngcattle,ani1849_merino,ani1849_halfmerino,ani1849_nomerino,ani1849_goats,ani1849_pigs
65,"Obornik","POS",1160,2965,1732,0,39,177,2355,8904,4700,36378,57275,13910,352,9356
66,"Samter","POS",845,2672,1517,0,57,193,2985,7907,4049,25137,70516,10545,508,6416
67,"Birnbaum","POS",718,2248,1449,0,12,171,2095,8171,5054,13481,52796,11434,1873,8024
68,"Meseritz","POS",563,1708,1083,0,31,262,1698,7869,5522,5537,43922,16133,1391,6678
69,"Schildberg","POS",788,3410,1948,0,9,136,2518,11940,6817,1955,50425,3221,101,11779
70,"Bomst","POS",846,2189,1330,0,34,249,3283,10375,5790,26728,19509,5782,1357,7922
71,"Fraustadt","POS",639,2480,1543,2,22,220,5421,11231,6629,4332,76141,2312,521,6534
72,"Kröben","POS",1145,4028,2330,0,69,185,4721,12625,5991,46365,89094,6615,296,7409
73,"Krotoschin","POS",1311,3991,2004,0,53,175,5049,12242,6645,44766,61491,5518,334,11469
74,"Adelnau","POS",1045,3356,1420,1,35,165,4091,12199,6762,20549,43775,4535,164,12171
75,"Tscharnikow","BRO",1434,3305,1594,0,17,180,1357,12239,7949,20353,28189,21584,895,7951
76,"Chodezien","BRO",951,2496,1599,0,7,175,1679,9211,4493,17496,19659,26752,670,6790
77,"Wirsitz","BRO",1302,3824,1654,0,30,258,4438,8587,5259,36633,54606,32090,323,7912
78,"Bromberg","BRO",917,3098,1518,0,2,293,3912,8773,4596,12872,23162,27160,554,7429
79,"Schubin","BRO",1007,3133,1569,0,8,139,3146,8048,3868,17335,43032,26112,349,7876
80,"Inowrazlaw","BRO",1850,5612,2199,0,23,309,5821,12689,7153,58598,78456,30838,333,17506
81,"Mogilno","BRO",1119,3157,1158,0,6,148,2961,6400,3798,9585,35205,37801,675,8128
82,"Gnesen","BRO",1242,3716,1999,0,45,219,3885,8729,5098,25580,74949,16474,335,7705
83,"Wongrowiz","BRO",1299,4072,1789,2,43,190,4329,9491,5280,37748,82580,25182,199,8636
84,"Haupt- und Residenzstadt Berlin","POT",42,2890,3833,0,18,2,9,885,34,14,748,97,821,784
85,"Prenzlau","POT",2130,4466,3254,7,8,500,451,11599,3733,52120,104266,19706,3585,14075
86,"Templin","POT",884,2680,1860,1,27,267,1694,7394,3014,23053,51878,33975,4496,11050
87,"Angermünde","POT",1300,3617,2861,0,12,207,1417,8768,3446,33811,62377,20160,5555,10265
88,"Ober-Barnim","POT",596,2981,2559,0,25,435,2858,7853,2840,50766,33977,12651,4311,9233
89,"Nieder-Barnim","POT",595,3254,4803,2,34,495,1905,15750,3926,16212,46296,11167,6554,13740
90,"Beeskow-Storkow","POT",298,1570,1941,0,24,124,3382,7498,5253,11260,27398,18948,2261,9842
91,"Teltow","POT",891,3603,4282,0,18,680,3313,11705,4221,5391,41386,6466,4778,12842
92,"Jüterbock-Luckenwalde","POT",895,2677,2294,6,2,194,4144,8615,5020,5416,43977,15821,1535,11218
93,"Zauch-Belzig","POT",1618,3396,3220,0,9,286,4807,12301,8677,4998,57988,33214,4974,18281
94,"Potsdam","POT",1,284,404,0,4,4,27,557,0,0,3,53,255,399
95,"Ost-Havelland","POT",499,3766,3316,0,27,376,882,17589,3108,15397,37694,28781,3474,10588
96,"West-Havelland","POT",592,3123,2603,0,17,357,1348,13296,3561,23933,69121,14717,3254,10343
97,"Ruppin","POT",1083,4141,3056,4,25,382,3367,19376,4412,30378,51148,53287,8171,17567
98,"Ost-Priegnitz","POT",1350,3836,3540,5,16,461,1865,19437,8650,18061,50266,70198,4409,16246
99,"West-Priegnitz","POT",1463,4145,3442,0,4,257,777,19243,5690,17829,33474,28300,3839,10277
100,"Königsberg","FRA",1457,4535,3168,0,43,318,3919,12181,5370,51896,63873,21364,6162,13039
101,"Soldin","FRA",697,2727,1684,0,14,301,2021,8595,3996,68968,42825,16623,2346,10332
102,"Arnswalde","FRA",1028,2512,1218,0,4,161,1208,7298,3937,34200,56286,33871,2508,9925
103,"Friedeberg","FRA",1167,3251,1739,0,25,195,684,12069,4732,27967,33875,6798,2216,10568
104,"Landsberg","FRA",1265,3167,2355,0,11,179,1846,15947,7284,27327,29463,14620,1659,11037
105,"Lebus","FRA",1585,5440,4226,0,62,424,7403,13109,6107,57805,63011,11166,8141,17370
106,"Frankfurt","FRA",16,380,341,0,5,25,112,1131,233,1233,513,191,679,843
107,"Sternberg","FRA",965,3714,2263,0,59,509,7399,16155,9638,18026,73509,39102,5404,14792
108,"Züllichau","FRA",353,1364,959,0,24,227,1393,7743,4311,16396,44245,11718,1434,7844
109,"Guben","FRA",637,1749,1604,0,9,131,5427,10040,7139,4179,27212,3631,1936,7541
110,"Crossen","FRA",591,2142,1613,0,14,131,2982,10663,7395,5857,37446,6192,3410,11269
111,"Lübben","FRA",320,1367,1198,0,3,84,3898,7306,4425,1941,17837,8151,1051,5742
112,"Luckau","FRA",794,2376,2116,0,18,438,5601,11820,7528,5399,32849,9533,2194,12114
113,"Kalau","FRA",355,1469,1600,1,17,215,4219,10408,7316,13342,24884,6586,893,9045
114,"Cottbus","FRA",552,1454,1626,2,5,176,3726,12145,5220,4363,14181,5852,713,8438
115,"Sorau","FRA",207,1391,1638,0,9,193,4474,14087,8282,3964,39360,815,1448,7938
116,"Spremberg","FRA",35,340,444,0,2,42,782,3060,1344,794,7799,1771,204,1496
117,"Demmin","STE",1821,3398,2787,0,11,483,475,14010,6341,58941,36233,23648,1492,12466
118,"Anclam","STE",857,1737,1362,0,6,239,759,7418,3339,14474,44491,8196,388,4726
119,"Usedom-Wollin","STE",623,1607,1226,0,25,221,580,7847,3312,5897,16640,12876,451,6388
120,"Uckermünde","STE",459,1688,1138,0,9,246,681,7762,3410,2713,4816,11647,964,9330
121,"Randow","STE",1570,4568,3389,1,15,678,2049,13147,5148,34818,55832,31086,3108,17156
122,"Greiffenhagen","STE",940,2964,1727,0,26,298,2649,8855,4087,34766,30950,35915,3260,13407
123,"Pyritz","STE",928,3563,1370,0,13,339,2694,8871,4862,57591,88648,38439,1999,13417
124,"Saazig","STE",1118,3459,1521,1,11,400,2146,10406,5925,44658,61477,48291,2033,11219
125,"Naugardt","STE",770,2943,1850,0,6,342,1940,12768,6522,19299,34242,42118,806,4842
126,"Cammin","STE",675,2382,1696,0,1,305,1545,13092,5900,25570,41439,21797,152,6208
127,"Greiffenberg","STE",1258,3015,1900,1,4,279,607,11093,5801,22497,29152,27192,326,8632
128,"Regenwalde","STE",653,2951,1819,0,13,270,1699,10775,4920,55558,68422,28978,554,6683
129,"Schiefelbein","KOS",263,1136,660,0,2,80,602,4400,2193,6912,27829,14300,175,4341
130,"Dramburg","KOS",405,2153,859,2,2,148,1487,6033,3606,8443,38513,25825,469,5926
131,"Neustettin","KOS",892,3504,2029,3,10,243,2954,11748,8161,24863,47867,36378,616,7562
132,"Belgard","KOS",711,2494,1439,2,4,226,1739,9048,4906,24900,59295,16777,568,6629
133,"Fürstenthum","KOS",1913,5180,4393,1,26,547,2674,22949,10669,64709,78112,38813,1246,12784
134,"Schlawe","KOS",2038,3687,3569,1,45,298,1131,15272,6178,38166,28912,18477,725,5964
135,"Rummelsburg","KOS",226,1238,956,0,14,99,1237,5023,2802,12442,21271,13428,480,2470
136,"Stolpe","KOS",1296,3755,3824,0,14,328,2660,13617,7313,51081,54255,25142,535,8250
137,"Lauenburg","KOS",622,1733,1454,1,5,186,2632,7640,5315,23446,19202,15350,163,7383
138,"Bütow","KOS",322,1004,732,0,0,70,517,3267,2003,2750,7867,8964,245,2065
139,"Rügen","STR",1589,3815,3379,0,13,482,131,15588,4406,36790,61388,15033,138,6939
140,"Franzburg","STR",1101,3152,2969,0,6,432,1602,16007,4107,23363,73242,9529,287,11663
141,"Greifswald","STR",1186,3139,2189,0,7,406,1035,13455,3385,28072,74275,11509,327,8077
142,"Grimmen","STR",922,3049,2497,0,7,491,1357,15181,3982,30963,72413,12241,390,6233
143,"Namslau","BRE",788,1827,1276,0,13,114,1691,7069,4065,29855,35151,3229,76,3407
144,"Wartenberg","BRE",453,1301,1260,0,17,105,3371,8095,4603,11035,38236,1171,195,3697
145,"Oels","BRE",1040,2358,1973,0,14,243,2462,11127,4035,53670,55446,2563,314,1852
146,"Trebnitz","BRE",887,1979,1817,0,21,285,3013,10230,5927,27280,56923,4857,552,2760
147,"Militsch","BRE",806,1657,1438,0,3,204,5188,9400,6440,4890,62982,1004,306,2868
148,"Gurau","BRE",412,1229,920,0,9,178,3674,8477,5094,22498,43524,1464,188,985
149,"Steinau","BRE",165,684,684,0,3,124,1579,4768,2499,13904,33065,2510,286,487
150,"Wolau","BRE",434,1488,1277,0,30,239,2865,9269,3814,24220,47196,6985,359,1395
151,"Neumarkt","BRE",658,1806,1724,0,22,430,1244,11758,4351,18160,82027,6942,714,1007
152,"Breslau","BRE",920,3084,3224,0,25,539,1530,15444,4244,33653,68668,11256,843,3300
153,"Olau","BRE",1031,1941,1636,0,6,402,1076,11246,5396,17279,37822,12080,455,4853
154,"Brieg","BRE",1137,1910,1620,0,9,202,1444,12481,5385,10518,38604,3315,242,5156
155,"Strehlen","BRE",480,1028,1037,0,6,259,464,7198,2551,23143,31495,3537,306,1173
156,"Nimtsch","BRE",492,1091,1473,0,7,427,219,7538,2790,21790,53037,3177,235,1238
157,"Münsterberg","BRE",548,1143,1015,0,0,248,441,8870,4004,15825,26149,735,302,911
158,"Frankenstein","BRE",429,1283,1386,0,1,304,402,12420,4867,12300,18481,3863,706,1265
159,"Reichenbach","BRE",351,1102,1240,0,11,207,246,8639,2522,9103,23671,3076,546,1175
160,"Schweidnitz","BRE",788,1929,2136,0,5,517,627,13032,3608,25103,50487,11256,676,2314
161,"Striegau","BRE",408,1133,977,0,12,290,520,6096,2571,16287,37320,2094,602,1865
162,"Waldenburg","BRE",76,1044,1266,0,24,160,683,7870,1889,2000,3323,2248,1486,917
163,"Glatz","BRE",218,1587,1471,0,21,310,840,15221,4722,30021,9832,1926,1459,1173
164,"Habelschwerdt","BRE",264,1063,496,0,11,201,592,13383,2736,7868,5438,2199,1175,508
165,"Creutzburg","OPP",505,1178,1157,2,10,90,1526,6522,2874,13352,34020,3138,65,3358
166,"Rosenberg","OPP",300,1256,1148,0,7,111,2464,8601,4644,7810,35429,1375,26,5206
167,"Oppeln","OPP",631,2197,2181,0,13,131,4473,13154,6047,6663,17389,334,341,3983
168,"Gross-Strehlitz","OPP",303,1350,1704,0,35,99,1395,8605,3451,29905,18990,134,149,4526
169,"Lublinitz","OPP",210,1100,1245,0,22,78,2213,8319,3991,14437,13214,89,35,3492
170,"Tost","OPP",281,1481,2363,0,21,134,1329,10206,3829,20987,17127,297,57,5320
171,"Beuthen","OPP",226,2481,2438,2,15,113,856,12124,2853,3000,20524,888,166,5712
172,"Pless","OPP",312,1888,1823,3,21,110,1729,10786,5264,3484,17477,1356,50,5501
173,"Riebnick","OPP",147,1268,1685,0,7,71,1010,7485,2181,5889,14542,1537,35,2433
174,"Ratibor","OPP",1575,3383,3121,0,30,167,984,13687,4453,70926,24232,1112,318,3993
175,"Cosel","OPP",825,2424,2243,0,11,117,633,10011,3519,33903,29502,573,158,2960
176,"Leobschütz","OPP",1629,3059,1723,0,11,141,125,14223,13884,26511,10553,19419,903,2829
177,"Neustadt","OPP",1338,2941,2124,0,4,119,783,13564,5294,22488,36908,2562,684,3775
178,"Falkenberg","OPP",231,743,862,0,20,126,2319,7811,3778,26103,15412,125,146,800
179,"Neisse","OPP",1494,2713,2185,0,5,409,420,17610,7323,8980,20478,3988,903,1832
180,"Grotkau","OPP",705,1520,1390,0,10,286,539,10942,4864,14179,34995,1159,218,1430
181,"Grünberg","LIE",490,1184,1240,0,28,167,2649,9233,5439,11560,25408,4590,4665,7099
182,"Freistadt","LIE",265,1111,1078,0,8,219,4240,10618,7319,6251,41992,6134,1639,4766
183,"Sagan","LIE",159,670,866,0,12,356,3839,10988,7738,300,28938,11593,1217,3138
184,"Sprottau","LIE",313,657,533,0,6,167,3138,7619,5185,5324,26003,5205,647,1936
185,"Glogau","LIE",526,1910,2301,0,18,379,3609,16509,8437,17528,60434,3998,693,3803
186,"Lüben","LIE",202,677,923,0,4,133,2217,6802,3109,15064,35591,1194,429,682
187,"Bunzlau","LIE",87,793,1077,0,17,108,2061,10256,4188,6857,16681,9604,1534,1448
188,"Hainau-Goldberg","LIE",154,1560,1408,0,5,314,1327,11477,3966,20135,52025,12737,1799,2595
189,"Liegnitz","LIE",453,2008,1939,0,15,460,1231,11971,4277,25065,78144,14585,1307,4418
190,"Jauer","LIE",225,1098,975,0,7,287,603,7222,2729,11969,30084,6417,1604,2050
191,"Schönau","LIE",77,560,752,0,8,132,1340,6595,2765,8556,14075,3633,2352,1194
192,"Bolkenhain","LIE",153,719,892,0,6,281,1088,7093,2667,1600,23629,5423,1501,1438
193,"Landshut","LIE",89,775,850,0,7,184,1256,8108,2914,0,7651,3313,1171,932
194,"Hirschberg","LIE",47,687,921,0,10,166,955,8799,2669,7509,5343,3861,2293,835
195,"Löwenberg","LIE",93,1167,1187,0,8,201,1153,13674,4828,8382,12710,16834,5997,1876
196,"Lauban","LIE",58,925,1143,0,12,164,972,11553,3074,7659,21386,3855,4102,1275
197,"Görlitz","LIE",76,1073,1331,0,8,271,1899,15180,5946,1075,16999,2788,1281,2649
198,"Rothenburg","LIE",52,588,1077,0,8,181,3512,11292,5621,2906,23120,7261,731,1351
199,"Hoyerswerda","LIE",97,1037,646,0,3,226,3342,10392,5987,1993,8736,9328,509,4997
200,"Osterburg","MAG",1566,3612,3657,0,3,345,1093,10861,4312,18812,21914,26129,2298,7375
201,"Salzwedel","MAG",1715,3509,2698,0,2,208,530,10475,5521,4902,10344,45782,2066,8823
202,"Gardelegen","MAG",1082,2249,1755,0,6,224,1124,10097,4241,4901,21214,35806,2039,8574
203,"Stendal","MAG",1289,3025,2707,0,14,171,1449,8875,3735,5469,31351,21950,2392,6665
204,"Jerichow II","MAG",1690,3094,2228,0,10,282,3000,9530,8742,22356,59976,23192,3555,13577
205,"Jerichow I","MAG",1050,3174,2958,0,5,210,2494,9283,5390,9,125293,1573,3861,16496
206,"Calbe","MAG",282,1531,1761,2,16,159,1428,5949,1805,22307,37495,209,2115,7232
207,"Magdeburg","MAG",1,684,1025,0,13,5,727,883,15,31,1450,705,734,1292
208,"Wanzleben","MAG",225,1548,2439,1,11,219,1892,8460,2114,14166,44631,6598,2804,8394
209,"Wollmirstädt","MAG",313,2040,1677,0,7,133,1569,7576,2533,7036,33589,9185,2145,8977
210,"Neuhaldensleben","MAG",490,1958,2027,1,3,176,393,8406,2433,18861,43665,13579,2255,7757
211,"Oschersleben","MAG",158,1236,1590,3,21,171,266,6724,1765,18042,43772,4903,1368,6563
212,"Aschersleben","MAG",171,1122,1719,24,30,169,449,5399,1444,19566,36964,2832,3752,7794
213,"Halberstadt","MAG",317,1531,1554,18,20,120,121,6461,1441,10037,47084,14112,1882,7868
214,"Grafschaft Wernigerode","MAG",149,503,615,30,6,48,123,2269,900,4489,9676,8644,710,3596
215,"Liebenwerda","MER",444,1487,1431,2,6,534,3720,9600,7301,3954,10520,8318,1652,6698
216,"Torgau","MER",971,2317,2529,0,6,428,2432,10707,5596,11431,26633,10332,2936,10029
217,"Schweinitz","MER",784,2096,1924,0,3,135,4229,8163,5494,1724,25352,16524,2057,8234
218,"Wittenberg","MER",741,2371,2256,0,1,182,1513,8483,5581,6797,34920,15600,3741,8407
219,"Bitterfeld","MER",279,1294,1850,0,9,322,1001,7634,4255,5276,32947,14534,5278,8697
220,"Delitsch","MER",339,2052,2574,0,7,273,660,12646,5250,12221,55236,13133,4150,14478
221,"Saal-Kreis","MER",314,1557,2004,0,9,177,297,8141,3180,2665,48833,12750,7094,12524
222,"Halle","MER",9,155,588,1,13,0,87,220,0,0,149,167,694,1183
223,"Seekreis Mannsfeld","MER",418,1584,1920,0,21,188,177,7797,3238,6892,61806,13919,7076,11176
224,"Gebirgskreis Mannsfeld","MER",199,929,1114,1,11,153,91,6269,3201,8207,40726,9256,5897,8545
225,"Sangerhausen","MER",592,1689,2077,5,12,179,116,9683,5401,9141,62328,16425,8696,14516
226,"Eckartsberga","MER",335,1263,1528,0,15,415,114,8179,4670,1810,50537,16343,5358,10619
227,"Querfurt","MER",441,1455,1780,0,8,134,205,10483,5148,2545,69311,15832,6217,12491
228,"Merseburg","MER",360,1472,2141,0,1,162,114,11994,3590,4463,31913,14858,4541,13642
229,"Weissenfels","MER",377,1200,1571,1,19,185,230,13120,4227,1309,19314,17905,3105,10589
230,"Naumburg","MER",119,337,647,0,15,33,121,3572,1324,360,14184,1803,1619,4923
231,"Zeitz","MER",206,1003,1164,7,7,98,172,7564,3093,63,9083,7573,1211,5063
232,"Nordhausen","ERF",386,1576,1857,2,41,91,101,5632,2567,1926,35763,11377,3310,8857
233,"Worbis","ERF",372,979,1473,0,11,98,509,5613,2987,2672,14540,19672,5146,8225
234,"Heiligenstadt","ERF",298,1154,1148,1,11,132,853,5343,1822,0,3123,19292,3998,7411
235,"Mühlhausen","ERF",389,924,1299,1,12,77,243,6162,2699,1343,12357,20378,3531,7544
236,"Langensalza","ERF",485,1223,913,0,4,101,99,5574,2964,235,32870,9308,2308,5995
237,"Weissensee","ERF",200,772,942,0,6,91,107,4835,2771,0,34117,4985,3686,5994
238,"Erfurt","ERF",139,896,940,0,9,89,235,4670,2343,30,18042,7392,4277,7549
239,"Ziegenrück","ERF",2,115,70,0,0,38,1832,2368,1497,430,7503,4569,1384,2125
240,"Schleusingen","ERF",11,194,194,0,1,86,986,5812,2851,2913,4783,1351,3446,2018
241,"Tecklenburg","MUN",376,1367,1795,0,4,496,332,14011,8111,0,11,10460,1515,15018
242,"Warendorf","MUN",547,1522,1817,0,46,222,54,11384,4914,1,2042,10737,1624,8885
243,"Beckum","MUN",1238,2741,2331,2,59,746,230,13345,12010,1,5008,12355,1860,11839
244,"Lüdinghausen","MUN",1287,2566,2420,0,25,508,183,10714,11625,14,1649,8201,1785,10862
245,"Landkreis Münster","MUN",885,2650,2670,3,34,502,171,12058,11100,6,893,11706,1570,11194
246,"Stadt Münster","MUN",0,105,139,0,12,0,0,426,4,0,0,1,601,393
247,"Steinfurt","MUN",631,1861,1736,0,7,332,459,9944,6795,3,205,9730,1863,9805
248,"Coesfeld","MUN",915,2273,2072,0,13,343,278,10778,7524,0,638,11153,1450,10360
249,"Ahaus","MUN",503,1671,1059,0,2,207,693,10329,5774,0,135,6250,1114,9330
250,"Borken","MUN",283,1051,729,0,4,163,974,10795,6597,0,0,9246,1843,10861
251,"Recklinghausen","MUN",1143,2527,1460,1,24,205,225,13118,7991,163,1407,26103,2258,13441
252,"Minden","MIN",683,2538,1887,0,14,217,525,11924,7369,902,2784,11792,5049,12170
253,"Lübbecke","MIN",599,1787,1381,1,16,323,264,11580,7767,97,813,8396,2777,7411
254,"Herfort","MIN",641,2014,1481,4,31,128,135,12002,4936,812,929,5522,6319,8128
255,"Halle","MIN",174,907,930,1,13,68,56,8311,1766,0,1351,3953,2204,3844
256,"Bielefeld","MIN",181,886,503,0,29,75,138,7568,1810,0,1998,1800,4726,4317
257,"Wiedenbrück","MIN",390,1067,1570,0,142,290,389,10594,3437,0,650,14705,1187,7816
258,"Paderborn","MIN",425,1276,1451,1,83,66,332,6817,2487,1000,1892,13070,2050,6313
259,"Büren","MIN",607,2229,1660,19,691,111,1060,6976,2694,11653,10768,22645,3482,7652
260,"Warburg","MIN",1297,2132,1832,6,98,142,382,5070,2794,10292,11813,16929,5187,5716
261,"Höxter","MIN",1050,2306,2309,10,91,135,566,8504,4790,5119,21410,21460,7298,10760
262,"Arnsberg","ARN",210,2621,1207,8,100,138,379,1183,4257,217,2783,14907,2595,7059
263,"Meschede","ARN",279,1067,880,8,66,192,581,8851,5786,0,2330,24401,1346,6367
264,"Brillon","ARN",388,1414,1051,4,331,112,1227,8000,3256,0,8748,21193,4072,5449
265,"Lippstadt","ARN",484,2041,1814,1,388,238,291,6824,3599,2317,13797,17073,3001,8251
266,"Soest","ARN",585,2470,2504,5,412,375,272,10548,5764,324,9689,10653,4809,11166
267,"Hamm","ARN",643,2427,1896,0,72,321,323,10254,6924,425,9693,6599,3786,10877
268,"Dortmund","ARN",1128,2354,2052,1,53,369,511,12054,6954,258,3829,4595,4888,14678
269,"Bochum","ARN",646,1682,1097,0,4,447,145,11136,4065,0,1485,3534,5884,9120
270,"Hagen","ARN",67,1033,1280,3,40,48,47,10794,3254,252,1559,2090,7313,3905
271,"Iserlohn","ARN",164,876,815,5,92,158,76,5951,2457,0,1575,3198,4473,3489
272,"Altena","ARN",43,682,706,3,18,100,703,12238,4864,11,181,3952,4392,2795
273,"Olpe","ARN",60,368,511,1,0,125,778,8276,5437,6,2085,8705,1127,2338
274,"Siegen","ARN",4,193,279,0,23,159,1445,9937,2756,0,101,5638,2573,4467
