kreiskey1882,county,rb,occ1882_se_min_pr,occ1882_emp_min_pr,occ1882_se_sto_pr,occ1882_emp_sto_pr,occ1882_se_met_pr,occ1882_emp_met_pr,occ1882_se_eng_pr,occ1882_emp_eng_pr,occ1882_se_che_pr,occ1882_emp_che_pr,occ1882_se_lum_pr,occ1882_emp_lum_pr,occ1882_se_tex_pr,occ1882_emp_tex_pr,occ1882_se_pap_pr,occ1882_emp_pap_pr,occ1882_se_woo_pr,occ1882_emp_woo_pr,occ1882_se_foo_pr,occ1882_emp_foo_pr,occ1882_se_clo_pr,occ1882_emp_clo_pr,occ1882_se_bui_pr,occ1882_emp_bui_pr,occ1882_se_pri_pr,occ1882_emp_pri_pr,occ1882_se_art_pr,occ1882_emp_art_pr,occ1882_se_min_cat,occ1882_emp_min_cat,occ1882_se_sto_cat,occ1882_emp_sto_cat,occ1882_se_met_cat,occ1882_emp_met_cat,occ1882_se_eng_cat,occ1882_emp_eng_cat,occ1882_se_che_cat,occ1882_emp_che_cat,occ1882_se_lum_cat,occ1882_emp_lum_cat,occ1882_se_tex_cat,occ1882_emp_tex_cat,occ1882_se_pap_cat,occ1882_emp_pap_cat,occ1882_se_woo_cat,occ1882_emp_woo_cat,occ1882_se_foo_cat,occ1882_emp_foo_cat,occ1882_se_clo_cat,occ1882_emp_clo_cat,occ1882_se_bui_cat,occ1882_emp_bui_cat,occ1882_se_pri_cat,occ1882_emp_pri_cat,occ1882_se_art_cat,occ1882_emp_art_cat,occ1882_se_min_jew,occ1882_emp_min_jew,occ1882_se_sto_jew,occ1882_emp_sto_jew,occ1882_se_met_jew,occ1882_emp_met_jew,occ1882_se_eng_jew,occ1882_emp_eng_jew,occ1882_se_che_jew,occ1882_emp_che_jew,occ1882_se_lum_jew,occ1882_emp_lum_jew,occ1882_se_tex_jew,occ1882_emp_tex_jew,occ1882_se_pap_jew,occ1882_emp_pap_jew,occ1882_se_woo_jew,occ1882_emp_woo_jew,occ1882_se_foo_jew,occ1882_emp_foo_jew,occ1882_se_clo_jew,occ1882_emp_clo_jew,occ1882_se_bui_jew,occ1882_emp_bui_jew,occ1882_se_pri_jew,occ1882_emp_pri_jew,occ1882_se_art_jew,occ1882_emp_art_jew,occ1882_se_min_tot,occ1882_emp_min_tot,occ1882_se_sto_tot,occ1882_emp_sto_tot,occ1882_se_met_tot,occ1882_emp_met_tot,occ1882_se_eng_tot,occ1882_emp_eng_tot,occ1882_se_che_tot,occ1882_emp_che_tot,occ1882_se_lum_tot,occ1882_emp_lum_tot,occ1882_se_tex_tot,occ1882_emp_tex_tot,occ1882_se_pap_tot,occ1882_emp_pap_tot,occ1882_se_woo_tot,occ1882_emp_woo_tot,occ1882_se_foo_tot,occ1882_emp_foo_tot,occ1882_se_clo_tot,occ1882_emp_clo_tot,occ1882_se_bui_tot,occ1882_emp_bui_tot,occ1882_se_pri_tot,occ1882_emp_pri_tot,occ1882_se_art_tot,occ1882_emp_art_tot
11,"HEILIGENBEIL","KON",0,8,11,49,106,144,54,53,4,5,0,1,219,30,45,32,142,104,120,203,687,174,39,437,1,4,0,1,0,0,0,1,2,6,3,3,0,0,0,0,2,2,0,1,0,1,4,5,12,3,3,8,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,8,11,50,109,150,59,57,4,5,0,1,223,32,45,33,148,108,125,208,709,179,43,452,1,5,0,1
12,"BRAUNSBERG","KON",0,5,11,37,26,44,8,24,5,4,1,8,13,4,10,20,32,34,45,101,118,78,19,83,5,8,1,1,0,5,33,75,141,122,71,49,0,5,1,5,273,32,66,60,202,143,134,195,934,335,47,392,0,13,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,7,1,0,0,0,0,0,0,0,10,44,112,168,166,79,73,5,9,2,13,286,37,77,81,234,177,182,297,1060,414,66,475,5,21,3,2
13,"HEILSBERG","KON",0,1,2,32,18,24,14,10,2,2,0,2,6,5,10,16,20,13,26,56,81,28,12,52,0,1,0,0,0,0,29,41,147,144,72,29,2,3,1,5,134,30,47,44,226,124,113,104,951,308,51,279,2,7,2,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,2,5,2,0,7,0,0,0,0,0,0,0,0,1,31,73,165,168,87,39,4,5,2,9,141,35,57,60,248,142,141,160,1039,336,63,331,2,8,2,1
14,"ROSSEL","KON",0,0,5,33,30,38,21,19,5,5,2,1,17,8,22,23,30,33,19,66,141,70,20,65,2,5,0,0,0,10,42,74,131,97,66,33,1,2,0,1,301,36,51,38,198,91,143,117,845,308,53,316,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,10,47,107,161,135,87,53,6,7,2,2,318,44,73,61,228,129,166,183,990,378,73,383,2,6,0,0
15,"ALLENSTEIN","KON",0,1,2,26,21,25,15,9,2,3,0,1,4,2,4,11,21,25,27,70,59,35,27,129,1,0,1,0,0,0,37,112,149,122,74,33,1,31,0,2,127,21,24,13,243,189,118,205,720,249,53,579,0,2,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,8,0,3,2,12,5,2,0,0,0,0,0,0,1,39,138,172,147,89,44,4,35,0,3,131,23,28,25,272,214,148,277,791,289,82,708,1,2,1,1
16,"ORTELSBURG","KON",1,6,31,52,101,76,50,17,5,2,2,0,50,19,23,15,177,137,131,168,512,212,45,239,1,2,1,0,0,0,5,14,25,12,8,0,2,1,0,0,10,4,4,1,23,16,17,21,46,12,9,36,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,2,1,7,1,0,2,0,0,0,0,1,6,36,67,130,90,59,18,7,4,2,0,63,23,29,16,200,155,150,190,573,226,54,280,1,2,1,0
17,"NEIDENBURG","KON",0,11,25,76,116,84,53,38,0,4,1,1,36,13,19,11,94,122,123,183,543,205,49,390,2,6,0,0,0,21,11,31,21,10,7,7,1,0,0,0,8,2,0,3,19,31,16,43,61,30,4,58,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,3,5,5,10,1,1,0,1,0,0,0,0,32,36,107,137,94,61,45,2,4,2,1,44,15,19,14,115,156,144,231,614,236,54,448,4,6,0,0
18,"OSTERODE","KON",0,18,48,83,139,152,70,68,4,3,3,0,37,12,34,33,172,122,214,259,665,270,69,587,1,7,0,0,0,4,3,4,10,24,4,10,1,2,0,0,9,5,5,7,13,18,29,24,41,27,14,75,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,6,1,6,1,0,0,0,0,0,0,0,22,51,87,149,177,76,78,5,5,3,0,46,17,39,40,188,140,251,286,714,299,83,666,2,9,0,0
19,"MOHRUNGEN","KON",0,38,34,145,129,110,78,29,4,2,0,0,95,18,43,30,190,125,158,222,652,285,105,997,6,6,0,0,0,12,0,6,1,1,2,2,0,0,0,0,4,0,3,0,8,3,9,10,14,8,2,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,2,0,0,0,0,0,0,0,50,34,152,131,111,81,34,4,3,0,0,99,18,47,31,199,128,170,235,671,295,107,1051,6,6,0,0
20,"PREUSSISCH HOLLAND","KON",0,2,40,80,106,142,58,50,4,3,1,4,64,12,46,52,119,109,107,210,611,239,61,703,1,5,0,0,0,1,4,8,5,10,2,3,0,0,0,0,11,3,4,3,11,9,4,15,28,12,7,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,1,1,1,0,0,0,0,0,3,44,89,112,152,60,54,4,3,1,4,76,15,50,55,130,118,112,225,645,252,70,747,1,5,0,0
21,"HEYDEKRUG","GUM",0,7,12,46,69,52,24,19,2,3,0,0,71,17,19,21,83,109,93,96,333,108,29,143,0,0,0,0,0,0,0,3,4,4,1,0,0,0,0,0,7,0,0,0,3,8,3,3,11,4,4,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,3,4,0,1,0,1,0,0,0,0,0,0,7,12,49,74,56,26,19,2,3,0,0,78,17,19,21,91,120,100,100,349,113,34,150,0,0,0,0
22,"NIEDERUNG","GUM",0,6,14,43,107,108,50,41,6,6,0,0,127,11,29,22,143,152,164,130,575,254,52,324,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,4,4,8,0,0,0,1,3,0,0,0,0,0,6,15,43,109,109,52,42,6,6,0,0,130,15,29,22,149,157,175,134,581,256,57,332,1,5,0,0
23,"TILSIT","GUM",0,7,21,163,142,300,69,120,6,12,3,23,94,61,61,140,161,403,223,378,1203,971,82,732,6,39,4,7,0,0,0,3,11,12,4,4,0,3,0,0,2,0,1,4,5,3,2,4,23,26,5,21,2,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,1,0,0,2,3,26,3,1,7,2,4,7,0,1,0,0,0,7,21,169,158,317,73,126,6,16,3,23,99,61,64,146,171,433,229,385,1244,1005,91,768,8,40,4,7
24,"RAGNIT","GUM",1,7,52,134,136,128,42,41,6,5,0,1,57,15,45,36,140,109,155,166,489,236,33,364,1,6,0,0,0,0,0,3,1,2,1,0,1,0,0,0,0,0,1,0,0,1,1,4,5,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,10,2,0,0,0,0,1,7,52,137,138,131,43,41,7,6,0,1,58,15,46,36,140,110,162,170,498,238,45,376,1,6,0,0
25,"PILLKALLEN","GUM",0,2,22,62,104,136,49,46,5,6,0,0,48,5,44,30,105,100,111,133,506,204,39,324,1,5,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,2,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,0,1,0,0,0,0,0,0,0,0,3,22,62,105,138,49,46,5,7,0,0,49,7,45,30,106,105,115,134,510,207,41,324,1,5,0,1
26,"STALLUPONEN","GUM",0,5,17,38,98,164,47,75,3,5,1,8,44,13,42,54,113,149,123,209,506,327,48,436,2,11,0,0,0,0,0,0,1,3,0,1,1,1,0,0,0,0,2,0,2,1,0,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,14,1,1,2,7,0,1,0,0,0,5,17,38,99,167,49,76,4,6,1,8,44,13,44,54,115,150,129,225,510,329,53,446,2,12,0,0
27,"GUMBINNEN","GUM",0,0,16,111,131,223,49,72,3,10,3,8,54,43,47,73,143,192,152,261,695,425,55,463,5,49,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,16,113,132,225,49,74,3,10,3,8,55,44,47,73,143,195,153,263,704,428,56,465,5,49,0,4
28,"INSTERBURG","GUM",0,4,23,222,155,279,67,107,8,21,2,14,74,237,56,65,197,241,225,405,1054,523,79,1154,5,36,1,1,0,0,0,0,1,7,0,0,0,0,0,1,0,3,1,1,3,1,1,2,4,4,1,7,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,12,0,0,1,0,6,0,5,1,1,0,0,0,0,0,0,5,23,222,159,286,67,107,8,22,2,15,76,253,57,66,203,245,232,407,1063,530,82,1164,5,36,1,1
29,"DARKEHMEN","GUM",0,1,15,50,78,107,30,33,4,2,0,0,48,29,31,32,86,68,83,112,344,164,30,255,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,15,50,78,109,31,33,4,2,0,0,48,29,31,32,86,68,84,113,347,164,31,262,1,4,0,0
30,"ANGERBURG","GUM",0,2,16,48,109,85,49,33,4,2,0,0,83,10,36,26,128,81,90,123,460,201,40,284,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,48,109,85,49,33,4,3,0,0,85,10,36,26,128,82,91,125,460,202,40,286,1,3,0,0
31,"GOLDAP","GUM",0,0,32,84,116,110,37,32,8,4,0,2,59,8,53,94,150,112,123,142,474,267,38,299,1,2,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,32,89,120,110,40,33,8,5,1,2,60,8,53,94,154,114,125,142,487,270,39,316,1,6,1,0
32,"OLETZKO","GUM",1,4,20,58,116,86,67,60,5,2,1,0,54,15,30,25,112,71,111,160,451,186,47,275,1,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,4,20,60,116,87,67,60,5,2,1,0,54,16,30,25,115,72,113,163,454,187,47,275,1,3,1,0
33,"LYCK","GUM",0,1,26,72,130,111,81,52,4,4,1,0,83,17,24,31,155,132,121,191,519,287,59,433,2,12,0,3,0,0,0,7,4,3,1,0,0,0,0,0,1,0,1,3,6,5,1,3,9,4,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1,0,0,0,2,0,0,0,1,26,79,134,114,82,53,4,4,1,0,84,17,25,34,162,137,128,194,532,293,61,451,2,15,0,3
34,"LOTZEN","GUM",0,6,26,80,119,84,69,60,5,6,1,2,96,41,29,34,132,131,120,171,497,186,39,353,1,4,0,0,0,2,2,2,0,0,1,0,1,1,0,0,2,0,0,0,1,1,2,1,4,0,0,8,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,1,5,0,2,0,0,0,0,0,0,0,0,8,29,82,121,86,72,60,6,7,1,2,98,41,29,34,134,133,127,172,504,187,39,362,1,4,0,0
35,"SENSBURG","GUM",1,0,21,83,115,74,45,38,3,3,0,0,166,10,39,16,181,110,108,111,468,174,21,357,1,3,0,1,0,0,3,7,5,4,7,2,1,0,0,0,21,0,2,2,12,39,5,6,17,8,5,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,0,1,0,24,92,120,78,53,40,4,3,0,0,187,10,41,18,193,152,116,117,488,186,26,388,2,3,0,1
36,"JOHANNISBURG","GUM",0,12,31,43,107,76,60,60,3,1,1,1,91,10,26,30,113,85,108,142,387,193,33,229,3,3,0,0,0,1,0,4,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,3,0,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,13,31,47,107,76,61,60,4,2,1,1,92,11,27,31,113,85,110,145,392,195,36,233,3,3,0,0
37,"ELBING","DAN",0,40,12,91,80,919,40,570,7,15,4,23,55,113,47,108,146,417,135,562,849,472,76,482,8,44,4,7,1,16,6,27,20,242,8,141,1,2,0,3,14,16,5,24,35,97,20,137,217,120,25,154,0,14,2,2,0,0,0,0,0,1,0,1,0,1,0,0,3,2,0,0,2,0,3,6,11,0,0,0,0,2,0,1,1,56,19,118,103,1171,50,716,8,19,4,26,74,131,54,133,187,518,163,710,1091,605,102,637,9,61,6,10
38,"ELBING","DAN",2,15,9,366,42,78,28,62,1,0,0,0,19,11,9,2,60,64,72,108,233,66,40,815,0,4,0,0,0,3,39,133,23,31,9,24,0,0,0,0,8,10,2,3,64,73,19,21,48,22,3,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,18,48,500,65,110,37,87,2,0,0,0,34,21,11,5,126,141,101,130,291,89,44,965,0,4,0,0
39,"MARIENBURG","DAN",0,1,12,120,143,261,62,73,7,12,1,6,29,23,52,76,138,193,143,367,599,285,131,687,3,11,0,0,0,1,7,103,35,80,17,20,1,3,0,0,5,9,10,34,33,119,44,156,319,185,58,618,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,2,0,0,0,1,2,3,9,3,1,2,0,0,1,0,0,2,20,225,180,343,87,98,8,16,1,6,44,37,64,114,173,317,203,540,947,481,196,1315,4,12,1,0
40,"DANZIG","DAN",0,1,41,147,187,1107,102,1502,15,135,7,96,165,105,107,170,294,1101,295,1013,3092,1164,228,1778,24,202,9,22,0,3,16,52,34,383,16,548,2,75,0,50,45,49,8,69,37,381,43,402,1107,479,49,997,4,57,8,3,0,0,0,0,2,4,2,4,1,3,1,0,0,1,7,7,12,19,11,5,82,32,4,4,2,6,0,0,0,4,57,199,226,1501,121,2060,18,216,8,146,211,158,122,246,351,1505,356,1424,4300,1681,284,2782,30,265,17,25
41,"DANZIG","DAN",0,7,20,197,118,200,75,203,6,35,1,6,39,10,34,55,113,631,175,299,457,115,68,668,1,5,0,0,3,17,5,154,38,100,27,64,0,35,1,8,9,4,8,43,24,166,43,170,200,67,37,531,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,3,24,25,351,157,301,103,267,6,71,2,14,48,14,43,98,137,798,221,472,661,182,107,1201,1,5,0,0
42,"PREUSSISCH STARGARD","DAN",0,10,20,93,57,143,29,122,6,7,4,4,30,9,25,23,99,111,108,272,316,170,53,342,4,14,0,0,3,111,23,155,98,130,42,150,2,4,1,2,5,18,23,24,88,112,51,285,557,322,69,767,2,13,1,3,0,0,0,0,2,3,1,0,0,2,0,0,1,0,0,0,0,0,11,9,30,13,5,1,0,2,0,0,3,121,43,248,157,281,74,278,8,13,5,6,36,27,49,47,187,223,172,569,903,506,127,1110,6,29,1,3
43,"BERENT","DAN",0,2,10,50,51,35,15,14,2,3,0,0,13,4,9,16,58,44,40,83,192,72,29,85,0,2,0,0,0,25,12,32,32,26,22,14,0,1,0,0,13,1,4,4,39,51,23,45,188,62,16,135,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,11,9,15,4,5,2,1,0,0,0,0,27,22,82,84,61,39,31,2,4,0,0,29,5,13,20,97,95,74,138,395,138,50,222,2,3,0,0
44,"KARTHAUS","DAN",2,4,6,30,32,27,16,6,0,0,0,0,13,2,12,12,25,23,33,65,101,30,15,47,1,1,0,0,0,8,13,28,41,28,21,8,1,0,0,0,16,1,4,41,56,24,19,51,182,48,15,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0,0,0,0,2,12,19,58,75,55,37,15,1,0,0,0,29,3,16,53,81,47,55,118,287,78,31,147,1,1,0,0
45,"NEUSTADT","DAN",4,14,31,81,80,64,45,23,3,4,0,1,20,3,19,19,57,42,73,137,207,71,37,164,2,2,0,0,2,24,14,123,66,57,49,22,0,2,0,1,48,5,6,4,52,59,35,68,414,129,32,290,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,7,4,2,0,0,0,0,0,6,38,46,206,148,121,95,46,3,6,0,2,69,8,25,23,109,102,110,206,631,204,71,456,2,3,0,0
