kreiskey1862,county,rb,trans1862_len_road_priv,trans1862_len_road_tot,trans1862_len_wat_tot
204,"Calbe","MAG",0,7.6,9.8
205,"Gardelegen","MAG",.4,11.6,0
206,"Halberstadt","MAG",1.6,18.3,0
207,"Jerichow I","MAG",0,14.3,0
208,"Jerichow II","MAG",0,12.3,5.7
209,"Magdeburg","MAG",0,3.2,.8
210,"Neuhaldensleben","MAG",0,23.1,0
211,"Oschersleben","MAG",0,16.7,0
212,"Osterburg","MAG",0,10.1,14.2
213,"Salzwedel","MAG",0,15.9,.8
214,"Stendal","MAG",0,15.4,5.2
215,"Wanzleben","MAG",0,16.6,1
216,"Grafschaft Wernigerode","MAG",9.2,9.2,0
217,"Wollmirstädt","MAG",0,12.8,4.7
218,"Bitterfeld","MER",0,7.7,0
219,"Delitsch","MER",0,4.2,0
220,"Eckartsberga","MER",0,7.1,3.4
221,"Halle","MER",0,1,.4
222,"Liebenwerda","MER",0,4.6,0
223,"Gebirgskreis Mannsfeld","MER",3.8,10.8,0
224,"Seekreis Mannsfeld","MER",1.8,17.9,0
225,"Merseburg","MER",0,12.9,5.3
226,"Naumburg","MER",0,5.2,2.3
227,"Querfurt","MER",0,7.3,3.9
228,"Saal-Kreis","MER",0,14.1,6.8
229,"Sangerhausen","MER",5,16.2,1.8
230,"Schweinitz","MER",0,4.1,8
231,"Torgau","MER",0,2,8.1
232,"Weissenfels","MER",0,10.1,3.3
233,"Wittenberg","MER",0,6.5,7.1
234,"Zeitz","MER",1.2,6.5,0
235,"Erfurt","ERF",0,11.4,0
236,"Heiligenstadt","ERF",0,15.1,2.1
237,"Langensalza","ERF",0,6.6,0
238,"Mühlhausen","ERF",0,16.4,0
239,"Nordhausen","ERF",0,15.2,0
240,"Schleusingen","ERF",0,15.9,0
241,"Weissensee","ERF",0,7.6,0
242,"Worbis","ERF",0,12.1,0
243,"Ziegenrück","ERF",0,8.9,0
244,"Ahaus","MUN",0,12,1.6
245,"Beckum","MUN",0,17.3,0
246,"Borken","MUN",1.2,12.8,0
247,"Coesfeld","MUN",0,13.1,0
248,"Lüdinghausen","MUN",0,12.6,0
249,"Landkreis Münster","MUN",0,15.6,3.4
250,"Stadt Münster","MUN",0,0,0
251,"Recklinghausen","MUN",0,14.2,7.7
252,"Steinfurt","MUN",0,14.2,3.4
253,"Tecklenburg","MUN",0,13.2,0
254,"Warendorf","MUN",0,8,0
255,"Bielefeld","MIN",0,9.9,0
256,"Büren","MIN",0,18.3,2.3
257,"Halle","MIN",0,7.7,0
258,"Herfort","MIN",0,13.6,0
259,"Höxter","MIN",0,25.8,5.4
260,"Lübbecke","MIN",0,11.2,0
261,"Minden","MIN",0,19.4,10
262,"Paderborn","MIN",0,11.3,0
263,"Warburg","MIN",0,16.2,0
264,"Wiedenbrück","MIN",0,9.1,0
265,"Altena","ARN",0,28.8,0
266,"Arnsberg","ARN",.6,22.7,0
267,"Bochum","ARN",1.4,14.6,3.7
268,"Brillon","ARN",0,30,0
269,"Dortmund","ARN",1.7,15.3,1.4
270,"Hagen","ARN",1.5,25,0
271,"Hamm","ARN",0,9.8,6.7
272,"Iserlohn","ARN",3,10.8,0
273,"Lippstadt","ARN",0,14.6,2.7
274,"Meschede","ARN",0,25.2,0
275,"Olpe","ARN",0,22.8,0
276,"Siegen","ARN",0,25.3,0
277,"Soest","ARN",3.3,14.4,3.1
278,"Wittgenstein","ARN",0,8.9,0
279,"Bergheim","KOL",0,6.9,0
280,"Bonn","KOL",0,8.8,4
281,"Landkreis Cöln","KOL",0,.2,.5
282,"Stadt Cöln","KOL",0,15.6,5.7
283,"Euskirchen","KOL",0,13.3,0
284,"Gummersbach","KOL",0,10.1,0
285,"Mühlheim","KOL",0,16.1,0
286,"Rheinbach","KOL",0,7.4,0
287,"Sieg","KOL",0,17.3,2.3
288,"Waldbroel","KOL",0,11.4,0
289,"Wipperfurt","KOL",0,8.8,0
290,"Barmen","DUS",0,3.8,0
291,"Duisburg","DUS",.5,10.8,7.6
292,"Düsseldorf","DUS",.5,16.3,0
293,"Elberfeld","DUS",0,2.9,0
294,"Essen","DUS",1.2,9.6,3.7
295,"Geldern","DUS",0,12.4,0
296,"Gladbach","DUS",0,10.4,0
297,"Grevenbroich","DUS",0,5,0
298,"Kempen","DUS",0,19,0
299,"Cleve","DUS",0,11.8,5.1
300,"Crefeld","DUS",0,7,1.8
301,"Lennep","DUS",1.9,21.6,0
302,"Mettmann","DUS",.2,11.5,0
303,"Meurs","DUS",.9,14.4,10.2
304,"Neuss","DUS",0,10.4,5.5
305,"Rees","DUS",1.2,17.1,0
306,"Solingen","DUS",0,12.1,0
307,"Adenau","KOB",0,9.8,0
308,"Ahrweiler","KOB",0,10.1,3.3
309,"Altenkirchen","KOB",0,17.1,0
310,"Coblenz","KOB",0,11.3,6
311,"Kochheim","KOB",0,15.5,3.7
312,"Kreuznach","KOB",0,15.7,.7
313,"Mayen","KOB",3,13.8,3.1
314,"Neuwied","KOB",2.7,23.1,0
315,"Simmern","KOB",0,13.9,0
316,"St. Goar","KOB",0,10.5,6.4
317,"Wetzlar","KOB",0,6.7,4.2
318,"Zell","KOB",0,10.7,6.3
319,"Berncastel","TRI",0,14.1,5.9
320,"Bitburg","TRI",0,19.2,2.5
321,"Daun","TRI",0,10.5,0
322,"Merzig","TRI",0,11.3,3.1
323,"Ottweiler","TRI",0,5.1,0
324,"Prüm","TRI",0,19.7,0
325,"Saarbrücken","TRI",0,9.7,2.1
326,"Saarburg","TRI",0,7.6,8.1
327,"Saarlouis","TRI",0,13.2,4.1
328,"Trier (Land)","TRI",0,18.6,10.1
329,"Trier (Stadt)","TRI",0,2.9,1.7
330,"St. Wendel","TRI",0,15,0
331,"Wittlich","TRI",0,17,0
332,"Landkreis Aachen","AAC",3.8,17.9,0
333,"Stadt Aachen","AAC",1,3.2,0
334,"Düren","AAC",1.9,21.1,0
335,"Erkelens","AAC",0,12.2,0
336,"Eupen","AAC",1.6,9.1,0
337,"Geilenkirchen","AAC",0,8.5,0
338,"Heinsberg","AAC",0,7.1,0
339,"Jülich","AAC",1.3,13.2,0
340,"Malmedy","AAC",0,25.7,0
341,"Montjoie","AAC",0,11.6,0
342,"Schleiden","AAC",0,25.5,0
343,"Haigerloch","SIG",0,4.2,0
344,"Hechingen","SIG",0,7.1,0
345,"Gammertingen","SIG",0,6.2,0
346,"Sigmaringen","SIG",0,18.4,0
